[31/Dec/2023:05:16:51 +0000] - - 301 - GET http firefly.hanisntsolo.online "/" [Client 146.190.21.15] [Length 166] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36" "-"
[31/Dec/2023:05:16:52 +0000] - 302 302 - GET https firefly.hanisntsolo.online "/" [Client 146.190.21.15] [Length 418] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36" "-"
[01/Jan/2024:06:35:17 +0000] - - 301 - GET http firefly.hanisntsolo.online "/.well-known/acme-challenge/0D9Bx2ZrTak86NcHceAf9PrX8cZtB0VFaDAc1xuvaWI" [Client 35.92.145.233] [Length 166] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)" "-"
[01/Jan/2024:06:35:17 +0000] - - 301 - GET http firefly.hanisntsolo.online "/.well-known/acme-challenge/0D9Bx2ZrTak86NcHceAf9PrX8cZtB0VFaDAc1xuvaWI" [Client 23.178.112.204] [Length 166] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)" "-"
[01/Jan/2024:06:35:18 +0000] - - 404 - GET https firefly.hanisntsolo.online "/.well-known/acme-challenge/0D9Bx2ZrTak86NcHceAf9PrX8cZtB0VFaDAc1xuvaWI" [Client 3.128.255.252] [Length 122] [Gzip 1.35] [Sent-to 180.233.121.154] "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)" "http://firefly.hanisntsolo.online/.well-known/acme-challenge/0D9Bx2ZrTak86NcHceAf9PrX8cZtB0VFaDAc1xuvaWI"
[01/Jan/2024:06:35:18 +0000] - - 404 - GET https firefly.hanisntsolo.online "/.well-known/acme-challenge/0D9Bx2ZrTak86NcHceAf9PrX8cZtB0VFaDAc1xuvaWI" [Client 35.92.145.233] [Length 122] [Gzip 1.35] [Sent-to 180.233.121.154] "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)" "http://firefly.hanisntsolo.online/.well-known/acme-challenge/0D9Bx2ZrTak86NcHceAf9PrX8cZtB0VFaDAc1xuvaWI"
[01/Jan/2024:06:35:18 +0000] - - 404 - GET https firefly.hanisntsolo.online "/.well-known/acme-challenge/0D9Bx2ZrTak86NcHceAf9PrX8cZtB0VFaDAc1xuvaWI" [Client 23.178.112.204] [Length 122] [Gzip 1.35] [Sent-to 180.233.121.154] "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)" "http://firefly.hanisntsolo.online/.well-known/acme-challenge/0D9Bx2ZrTak86NcHceAf9PrX8cZtB0VFaDAc1xuvaWI"
[01/Jan/2024:06:35:24 +0000] - - 301 - GET http firefly.hanisntsolo.online "/.well-known/acme-challenge/_pxTdVjCAqMQZrjuF_dQ__IkJel2chNOZntsSAEkHE8" [Client 23.178.112.207] [Length 166] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)" "-"
[01/Jan/2024:06:35:24 +0000] - - 301 - GET http firefly.hanisntsolo.online "/.well-known/acme-challenge/_pxTdVjCAqMQZrjuF_dQ__IkJel2chNOZntsSAEkHE8" [Client 35.92.145.233] [Length 166] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)" "-"
[01/Jan/2024:06:35:24 +0000] - - 301 - GET http firefly.hanisntsolo.online "/.well-known/acme-challenge/_pxTdVjCAqMQZrjuF_dQ__IkJel2chNOZntsSAEkHE8" [Client 3.144.190.229] [Length 166] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)" "-"
[01/Jan/2024:06:35:25 +0000] - - 404 - GET https firefly.hanisntsolo.online "/.well-known/acme-challenge/_pxTdVjCAqMQZrjuF_dQ__IkJel2chNOZntsSAEkHE8" [Client 35.92.145.233] [Length 122] [Gzip 1.35] [Sent-to 180.233.121.154] "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)" "http://firefly.hanisntsolo.online/.well-known/acme-challenge/_pxTdVjCAqMQZrjuF_dQ__IkJel2chNOZntsSAEkHE8"
[01/Jan/2024:06:35:25 +0000] - - 404 - GET https firefly.hanisntsolo.online "/.well-known/acme-challenge/_pxTdVjCAqMQZrjuF_dQ__IkJel2chNOZntsSAEkHE8" [Client 3.144.190.229] [Length 122] [Gzip 1.35] [Sent-to 180.233.121.154] "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)" "http://firefly.hanisntsolo.online/.well-known/acme-challenge/_pxTdVjCAqMQZrjuF_dQ__IkJel2chNOZntsSAEkHE8"
