[24/Dec/2023:18:44:16 +0000] - 502 502 - POST https nginx-proxy.hanisntsolo.com "/api/tokens" [Client 180.233.121.154] [Length 154] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://nginx-proxy.hanisntsolo.com/login"
[24/Dec/2023:18:44:16 +0000] - 502 502 - POST https nginx-proxy.hanisntsolo.com "/api/tokens" [Client 180.233.121.154] [Length 154] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://nginx-proxy.hanisntsolo.com/login"
[24/Dec/2023:18:44:16 +0000] - 502 502 - POST https nginx-proxy.hanisntsolo.com "/api/tokens" [Client 180.233.121.154] [Length 154] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://nginx-proxy.hanisntsolo.com/login"
[24/Dec/2023:18:44:16 +0000] - 502 502 - POST https nginx-proxy.hanisntsolo.com "/api/tokens" [Client 180.233.121.154] [Length 154] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://nginx-proxy.hanisntsolo.com/login"
[24/Dec/2023:18:44:16 +0000] - 502 502 - POST https nginx-proxy.hanisntsolo.com "/api/tokens" [Client 180.233.121.154] [Length 154] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://nginx-proxy.hanisntsolo.com/login"
[24/Dec/2023:18:44:16 +0000] - 502 502 - POST https nginx-proxy.hanisntsolo.com "/api/tokens" [Client 180.233.121.154] [Length 154] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://nginx-proxy.hanisntsolo.com/login"
[24/Dec/2023:18:44:17 +0000] - 502 502 - POST https nginx-proxy.hanisntsolo.com "/api/tokens" [Client 180.233.121.154] [Length 154] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://nginx-proxy.hanisntsolo.com/login"
[24/Dec/2023:18:44:17 +0000] - 502 502 - POST https nginx-proxy.hanisntsolo.com "/api/tokens" [Client 180.233.121.154] [Length 154] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://nginx-proxy.hanisntsolo.com/login"
[24/Dec/2023:18:44:17 +0000] - 502 502 - POST https nginx-proxy.hanisntsolo.com "/api/tokens" [Client 180.233.121.154] [Length 154] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://nginx-proxy.hanisntsolo.com/login"
[24/Dec/2023:18:44:17 +0000] - 502 502 - POST https nginx-proxy.hanisntsolo.com "/api/tokens" [Client 180.233.121.154] [Length 154] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://nginx-proxy.hanisntsolo.com/login"
[24/Dec/2023:18:44:17 +0000] - 502 502 - POST https nginx-proxy.hanisntsolo.com "/api/tokens" [Client 180.233.121.154] [Length 154] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://nginx-proxy.hanisntsolo.com/login"
[24/Dec/2023:18:44:17 +0000] - 502 502 - POST https nginx-proxy.hanisntsolo.com "/api/tokens" [Client 180.233.121.154] [Length 154] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://nginx-proxy.hanisntsolo.com/login"
