[28/Jan/2024:19:39:20 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/i18n/resourceBundle?baseName=jenkins.dialogs&_=1706470760856" [Client 152.58.30.33] [Length 134] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/job/gg_webapp/lastBuild/console"
[28/Jan/2024:22:05:30 +0000] - 403 403 - GET https jenkins.hanisntsolo.com "/" [Client 205.210.31.19] [Length 553] [Gzip -] [Sent-to 180.233.121.154] "-" "-"
[28/Jan/2024:22:23:47 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/job/gg_webapp/lastBuild/console" [Client 49.36.59.66] [Length 35479] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "-"
[28/Jan/2024:22:23:47 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/i18n/resourceBundle?baseName=jenkins.dialogs&_=1706480627313" [Client 49.36.59.66] [Length 134] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/job/gg_webapp/lastBuild/console"
[28/Jan/2024:22:23:51 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/job/gg_webapp/" [Client 49.36.59.66] [Length 31846] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/job/gg_webapp/lastBuild/console"
[28/Jan/2024:22:23:51 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/i18n/resourceBundle?baseName=jenkins.dialogs&_=1706480631100" [Client 49.36.59.66] [Length 134] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/job/gg_webapp/"
[28/Jan/2024:22:23:51 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/job/gg_webapp/wfapi/runs?fullStages=true&_=1706480631161" [Client 49.36.59.66] [Length 96147] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/job/gg_webapp/"
[28/Jan/2024:22:23:51 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/job/gg_webapp/95/wfapi/changesets?_=1706480631164" [Client 49.36.59.66] [Length 404] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/job/gg_webapp/"
[28/Jan/2024:22:23:51 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/job/gg_webapp/99/wfapi/changesets?_=1706480631162" [Client 49.36.59.66] [Length 430] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/job/gg_webapp/"
[28/Jan/2024:22:23:51 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/job/gg_webapp/97/wfapi/changesets?_=1706480631163" [Client 49.36.59.66] [Length 723] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/job/gg_webapp/"
[28/Jan/2024:22:23:56 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/job/gg_webapp/wfapi/runs?since=%2399&fullStages=true&_=1706480631165" [Client 49.36.59.66] [Length 19254] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/job/gg_webapp/"
[28/Jan/2024:22:24:01 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/job/gg_webapp/wfapi/runs?since=%2399&fullStages=true&_=1706480631166" [Client 49.36.59.66] [Length 19254] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/job/gg_webapp/"
[28/Jan/2024:22:24:05 +0000] - 302 302 - GET https jenkins.hanisntsolo.com "/job/gg_webapp/99" [Client 49.36.59.66] [Length 0] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/job/gg_webapp/"
[28/Jan/2024:22:24:06 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/job/gg_webapp/99/" [Client 49.36.59.66] [Length 31484] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/job/gg_webapp/"
[28/Jan/2024:22:24:06 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/i18n/resourceBundle?baseName=jenkins.dialogs&_=1706480646333" [Client 49.36.59.66] [Length 134] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/job/gg_webapp/99/"
[28/Jan/2024:22:24:16 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/job/gg_webapp/99/changes" [Client 49.36.59.66] [Length 29465] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/job/gg_webapp/99/"
[28/Jan/2024:22:24:17 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/i18n/resourceBundle?baseName=jenkins.dialogs&_=1706480657087" [Client 49.36.59.66] [Length 134] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/job/gg_webapp/99/changes"
